product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,brand,stock,seller_name
P0001,YVFQEAsgabWB,Books,29592,34813,15,1.6,624,Puma,372,PrimeSeller
P0002,LTajZudycZYd,Fashion,35242,44610,21,1.6,1243,Philips,64,ValueStore
P0003,XwZEpxsiqhXX,Home,21506,31167,31,4,3819,Puma,438,ShopGalaxy
P0004,tRrfsdvziwPD,Beauty,42903,47669,10,4.3,127,Sony,24,ValueStore
P0005,UemsYzYRNxTr,Electronics,16674,33348,50,3.1,2098,Sony,447,ValueStore
P0006,yOhpJRYaFCpZ,Home,1151,2302,50,3.9,230,Nike,58,ValueStore
P0007,UfPYTAqzjgXG,Toys,11777,30990,62,3.8,3086,Adidas,208,RetailHub
P0008,OdNHkDMDygRV,Home,2732,7805,65,3.7,3667,Puma,37,PrimeSeller
P0009,JDIGplwbptPd,Sports,14241,18988,25,3,1081,LG,263,BestMart
P0010,ChZlweXIztWD,Electronics,17995,24650,27,2.5,4389,Philips,287,PrimeSeller
P0011,yjjOWGTeppDM,Books,15512,37834,59,2.7,1029,LG,296,BestMart
P0012,jbXFRDcoYYTf,Fashion,34725,42347,18,2.8,3261,Samsung,321,ShopGalaxy
P0013,EjNblyMQtURR,Beauty,11783,16832,30,3.3,3230,Philips,137,ShopGalaxy
P0014,QfwlftQomYcS,Beauty,17855,22601,21,3.5,629,LG,307,ShopGalaxy
P0015,chiqfSEndqzl,Beauty,20286,40571,50,1.2,3389,Puma,291,PrimeSeller
P0016,symnAmpmVjqv,Sports,11470,31861,64,3.1,3632,Nike,469,RetailHub
P0017,kyuRYKruKYge,Fashion,24738,34358,28,2.5,1624,Sony,472,BestMart
P0018,rcKMmjNNYWhF,Fashion,12071,18289,34,2.6,4412,LG,229,ValueStore
P0019,TvFygBNgVPrb,Beauty,1479,2689,45,3.2,2878,Apple,289,ShopGalaxy
P0020,pLcmwFgmkxjz,Sports,2474,4123,40,2.7,3187,Puma,248,BestMart
